"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"1191","TG Southee (NZ)",10,0,60,"1","6.00","2","","v South Africa","Christchurch","22 Feb 2017","","NZ",2017-02-22,2017,22,2,53,6,"ODI"
"1192","Shapoor Zadran (AFG)",4,0,60,"1","15.00","2","","v Ireland","Greater Noida","12 Mar 2017","","AFG",2017-03-12,2017,12,3,71,6,"T20I"
"1193","Mustafizur Rahman (BDESH)",8,0,60,"1","7.50","1","","v Sri Lanka","Dambulla","28 Mar 2017","","BDESH",2017-03-28,2017,28,3,87,6,"ODI"
"1194","Rubel Hossain (BDESH)",10,0,60,"1","6.00","1","","v New Zealand","Cardiff","9 Jun 2017","","BDESH",2017-06-09,2017,9,6,160,6,"ODI"
"1195","A Zampa (AUS)",9,0,61,"1","6.77","2","","v Pakistan","Adelaide","26 Jan 2017","","AUS",2017-01-26,2017,26,1,26,6,"ODI"
"1196","JDF Vandersay (SL)",10,0,61,"1","6.10","1","","v South Africa","Centurion","10 Feb 2017","","SL",2017-02-10,2017,10,2,41,6,"ODI"
"1197","Imran Tahir (SA)",10,0,61,"1","6.10","1","","v New Zealand","Christchurch","22 Feb 2017","","SA",2017-02-22,2017,22,2,53,6,"ODI"
"1198","D Pretorius (SA)",10,0,61,"1","6.10","1","","v England","Southampton","27 May 2017","","SA",2017-05-27,2017,27,5,147,6,"ODI"
"1199","BA Stokes (ENG)",8,0,61,"1","7.62","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"1200","A Dananjaya (SL)",10,0,61,"1","6.10","2","","v Zimbabwe","Galle","30 Jun 2017","","SL",2017-06-30,2017,30,6,181,6,"ODI"
"1201","KA Maharaj (SA)",15,1,61,"1","4.06","1","","v England","The Oval","27 Jul 2017","","SA",2017-07-27,2017,27,7,208,6,"Test"
"1202","CBRLS Kumara (SL)",12,0,62,"1","5.16","3","","v South Africa","Cape Town","2 Jan 2017","","SL",2017-01-02,2017,2,1,2,6,"Test"
"1203","Hasan Ali (PAK)",10,0,62,"1","6.20","2","","v Australia","Perth","19 Jan 2017","","PAK",2017-01-19,2017,19,1,19,6,"ODI"
"1204","Wahab Riaz (PAK)",10,0,62,"1","6.20","1","","v Australia","Adelaide","26 Jan 2017","","PAK",2017-01-26,2017,26,1,26,6,"ODI"
"1205","UT Yadav (INDIA)",7,0,63,"1","9.00","1","","v England","Pune","15 Jan 2017","","INDIA",2017-01-15,2017,15,1,15,6,"ODI"
"1206","B Kumar (INDIA)",10,1,63,"1","6.30","2","","v England","Cuttack","19 Jan 2017","","INDIA",2017-01-19,2017,19,1,19,6,"ODI"
"1207","TG Southee (NZ)",10,0,63,"1","6.30","2","","v Australia","Auckland","30 Jan 2017","","NZ",2017-01-30,2017,30,1,30,6,"ODI"
"1208","IS Sodhi (NZ)",10,0,63,"1","6.30","2","","v South Africa","Christchurch","22 Feb 2017","","NZ",2017-02-22,2017,22,2,53,6,"ODI"
"1209","Mohammad Abbas (PAK)",22,4,63,"1","2.86","1","","v West Indies","Kingston","21 Apr 2017","","PAK",2017-04-21,2017,21,4,111,6,"Test"
"1210","K Rabada (SA)",9,0,63,"1","7.00","1","","v England","Leeds","24 May 2017","","SA",2017-05-24,2017,24,5,144,6,"ODI"
"1211","TL Chatara (ZIM)",8,1,63,"1","7.87","1","","v Scotland","Edinburgh","15 Jun 2017","","ZIM",2017-06-15,2017,15,6,166,6,"ODI"
"1212","SC Williams (ZIM)",8,0,63,"1","7.87","2","","v Sri Lanka","Hambantota","6 Jul 2017","","ZIM",2017-07-06,2017,6,7,187,6,"ODI"
"1213","KA Maharaj (SA)",16,3,64,"1","4.00","4","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"1214","Mohammad Nabi (AFG)",9,0,64,"1","7.11","2","","v Ireland","Greater Noida","19 Mar 2017","","AFG",2017-03-19,2017,19,3,78,6,"ODI"
"1215","AS Joseph (WI)",27,9,64,"1","2.37","1","","v Pakistan","Roseau","10 May 2017","","WI",2017-05-10,2017,10,5,130,6,"Test"
"1216","LE Plunkett (ENG)",10,0,65,"1","6.50","2","","v India","Kolkata","22 Jan 2017","","ENG",2017-01-22,2017,22,1,22,6,"ODI"
"1217","JO Holder (WI)",30,6,65,"1","2.16","2","","v Pakistan","Kingston","21 Apr 2017","","WI",2017-04-21,2017,21,4,111,6,"Test"
"1218","GH Dockrell (IRE)",10,0,65,"1","6.50","1","","v New Zealand","Dublin (Malahide)","21 May 2017","","IRE",2017-05-21,2017,21,5,141,6,"ODI"
"1219","BJ McCarthy (IRE)",10,0,65,"1","6.50","1","","v New Zealand","Dublin (Malahide)","21 May 2017","","IRE",2017-05-21,2017,21,5,141,6,"ODI"
"1220","JO Holder (WI)",10,0,65,"1","6.50","1","","v Afghanistan","Gros Islet","9 Jun 2017","","WI",2017-06-09,2017,9,6,160,6,"ODI"
"1221","TG Southee (NZ)",10,0,66,"1","6.60","1","","v South Africa","Wellington","25 Feb 2017","","NZ",2017-02-25,2017,25,2,56,6,"ODI"
"1222","Wahab Riaz (PAK)",23,6,66,"1","2.86","1","","v West Indies","Kingston","21 Apr 2017","","PAK",2017-04-21,2017,21,4,111,6,"Test"
"1223","PJ Cummins (AUS)",9,0,67,"1","7.44","1","","v New Zealand","Birmingham","2 Jun 2017","","AUS",2017-06-02,2017,2,6,153,6,"ODI"
"1224","MDK Perera (SL)",15,0,67,"1","4.46","3","","v India","Galle","26 Jul 2017","","SL",2017-07-26,2017,26,7,207,6,"Test"
"1225","JJ Bumrah (INDIA)",10,1,68,"1","6.80","1","","v England","Kolkata","22 Jan 2017","","INDIA",2017-01-22,2017,22,1,22,6,"ODI"
"1226","GH Dockrell (IRE)",10,1,68,"1","6.80","1","","v Afghanistan","Greater Noida","15 Mar 2017","","IRE",2017-03-15,2017,15,3,74,6,"ODI"
"1227","AU Rashid (ENG)",10,0,68,"1","6.80","2","","v Ireland","Lord's","7 May 2017","","ENG",2017-05-07,2017,7,5,127,6,"ODI"
"1228","LD Madushanka (SL)",10,0,69,"1","6.90","1","","v South Africa","Cape Town","7 Feb 2017","","SL",2017-02-07,2017,7,2,38,6,"ODI"
"1229","I Sharma (INDIA)",20,5,69,"1","3.45","2","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA",2017-02-09,2017,9,2,40,6,"Test"
"1230","PADLR Sandakan (SL)",22,5,69,"1","3.13","2","","v Bangladesh","Galle","7 Mar 2017","","SL",2017-03-07,2017,7,3,66,6,"Test"
"1231","PKD Chase (IRE)",10,0,69,"1","6.90","1","","v Afghanistan","Greater Noida","15 Mar 2017","","IRE",2017-03-15,2017,15,3,74,6,"ODI"
"1232","Wahab Riaz (PAK)",9,0,69,"1","7.66","2","","v West Indies","Providence","7 Apr 2017","","PAK",2017-04-07,2017,7,4,97,6,"ODI"
"1233","AS Joseph (WI)",9,0,69,"1","7.66","1","","v Pakistan","Providence","9 Apr 2017","","WI",2017-04-09,2017,9,4,99,6,"ODI"
"1234","SM Sharif (SCOT)",8.4,0,69,"1","7.96","2","","v Zimbabwe","Edinburgh","15 Jun 2017","","SCOT",2017-06-15,2017,15,6,166,6,"ODI"
"1235","TA Boult (NZ)",10,0,70,"1","7.00","1","","v South Africa","Hamilton","1 Mar 2017","","NZ",2017-03-01,2017,1,3,60,6,"ODI"
"1236","TG Southee (NZ)",10,0,70,"1","7.00","1","","v South Africa","Hamilton","1 Mar 2017","","NZ",2017-03-01,2017,1,3,60,6,"ODI"
"1237","CBRLS Kumara (SL)",16,1,70,"1","4.37","2","","v Bangladesh","Galle","7 Mar 2017","","SL",2017-03-07,2017,7,3,66,6,"Test"
"1238","Hasan Ali (PAK)",10,0,70,"1","7.00","1","","v India","Birmingham","4 Jun 2017","","PAK",2017-06-04,2017,4,6,155,6,"ODI"
"1239","Mohammad Amir (PAK)",10,0,71,"1","7.10","1","","v Australia","Adelaide","26 Jan 2017","","PAK",2017-01-26,2017,26,1,26,6,"ODI"
"1240","LH Ferguson (NZ)",10,0,71,"1","7.10","1","","v South Africa","Wellington","25 Feb 2017","","NZ",2017-02-25,2017,25,2,56,6,"ODI"
"1241","Mehidy Hasan Miraz (BDESH)",24,0,71,"1","2.95","3","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH",2017-03-15,2017,15,3,74,6,"Test"
"1242","R Ashwin (INDIA)",30,10,71,"1","2.36","3","","v Australia","Ranchi","16 Mar 2017","","INDIA",2017-03-16,2017,16,3,75,6,"Test"
"1243","JB Reva (PNG)",10,1,71,"1","7.10","1","","v U.A.E.","Abu Dhabi","31 Mar 2017","","PNG",2017-03-31,2017,31,3,90,6,"ODI"
"1244","SL Malinga (SL)",9,0,71,"1","7.88","1","","v Zimbabwe","Hambantota","6 Jul 2017","","SL",2017-07-06,2017,6,7,187,6,"ODI"
"1245","KA Maharaj (SA)",10,0,72,"1","7.20","1","","v England","Southampton","27 May 2017","","SA",2017-05-27,2017,27,5,147,6,"ODI"
"1246","S Prasanna (SL)",10,0,72,"1","7.20","1","","v South Africa","The Oval","3 Jun 2017","","SL",2017-06-03,2017,3,6,154,6,"ODI"
"1247","RAS Lakmal (SL)",10,1,72,"1","7.20","1","","v India","The Oval","8 Jun 2017","","SL",2017-06-08,2017,8,6,159,6,"ODI"
"1248","CBRLS Kumara (SL)",20,3,72,"1","3.60","3","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL",2017-07-14,2017,14,7,195,6,"Test"
"1249","N Pradeep (SL)",10,0,73,"1","7.30","1","","v India","The Oval","8 Jun 2017","","SL",2017-06-08,2017,8,6,159,6,"ODI"
"1250","PADLR Sandakan (SL)",10,0,73,"1","7.30","1","","v Zimbabwe","Hambantota","6 Jul 2017","","SL",2017-07-06,2017,6,7,187,6,"ODI"
"1251","JR Hazlewood (AUS)",10,0,74,"1","7.40","2","","v Pakistan","Adelaide","26 Jan 2017","","AUS",2017-01-26,2017,26,1,26,6,"ODI"
"1252","CBRLS Kumara (SL)",8,0,74,"1","9.25","1","","v Bangladesh","Dambulla","25 Mar 2017","","SL",2017-03-25,2017,25,3,84,6,"ODI"
"1253","PKD Chase (IRE)",10,0,74,"1","7.40","1","","v New Zealand","Dublin (Malahide)","14 May 2017","","IRE",2017-05-14,2017,14,5,134,6,"ODI"
"1254","AL Phehlukwayo (SA)",10,1,74,"1","7.40","1","","v England","Southampton","27 May 2017","","SA",2017-05-27,2017,27,5,147,6,"ODI"
"1255","Mohammad Amir (PAK)",10,0,75,"1","7.50","1","","v Australia","Sydney","22 Jan 2017","","PAK",2017-01-22,2017,22,1,22,6,"ODI"
"1256","SNJ O'Keefe (AUS)",27,4,75,"1","2.77","2","","v India","Dharamsala","25 Mar 2017","","AUS",2017-03-25,2017,25,3,84,6,"Test"
"1257","KMDN Kulasekara (SL)",10,0,76,"1","7.60","1","","v South Africa","Durban","1 Feb 2017","","SL",2017-02-01,2017,1,2,32,6,"ODI"
"1258","JO Holder (WI)",8.5,0,76,"1","8.60","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"1259","MA Starc (AUS)",26,7,77,"1","2.96","2","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"1260","Taskin Ahmed (BDESH)",21,3,77,"1","3.66","1","","v Sri Lanka","Galle","7 Mar 2017","","BDESH",2017-03-07,2017,7,3,66,6,"Test"
"1261","UT Yadav (INDIA)",14,1,78,"1","5.57","2","","v Sri Lanka","Galle","26 Jul 2017","","INDIA",2017-07-26,2017,26,7,207,6,"Test"
"1262","JT Ball (ENG)",10,1,82,"1","8.20","1","","v Bangladesh","The Oval","1 Jun 2017","","ENG",2017-06-01,2017,1,6,152,6,"ODI"
"1263","R Ashwin (INDIA)",27,5,84,"1","3.11","2","","v Sri Lanka","Galle","26 Jul 2017","","INDIA",2017-07-26,2017,26,7,207,6,"Test"
"1264","Taskin Ahmed (BDESH)",22,2,86,"1","3.90","2","","v New Zealand","Christchurch","20 Jan 2017","","BDESH",2017-01-20,2017,20,1,20,6,"Test"
"1265","MDK Perera (SL)",24,0,86,"1","3.58","1","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL",2017-07-14,2017,14,7,195,6,"Test"
"1266","Shadab Khan (PAK)",23,3,90,"1","3.91","1","","v West Indies","Bridgetown","30 Apr 2017","","PAK",2017-04-30,2017,30,4,120,6,"Test"
"1267","CH Morris (SA)",17,1,91,"1","5.35","1","","v England","The Oval","27 Jul 2017","","SA",2017-07-27,2017,27,7,208,6,"Test"
"1268","K Rabada (SA)",30,7,92,"1","3.06","2","","v New Zealand","Dunedin","8 Mar 2017","","SA",2017-03-08,2017,8,3,67,6,"Test"
"1269","PKD Chase (IRE)",10,0,92,"1","9.20","1","","v Afghanistan","Greater Noida","17 Mar 2017","","IRE",2017-03-17,2017,17,3,76,6,"ODI"
"1270","KA Maharaj (SA)",27,5,92,"1","3.40","3","","v England","Manchester","4 Aug 2017","","SA",2017-08-04,2017,4,8,216,6,"Test"
"1271","R Ngarava (ZIM)",10,0,96,"1","9.60","1","","v Scotland","Edinburgh","15 Jun 2017","","ZIM",2017-06-15,2017,15,6,166,6,"ODI"
"1272","Shakib Al Hasan (BDESH)",32.1,5,100,"1","3.10","1","","v Sri Lanka","Galle","7 Mar 2017","","BDESH",2017-03-07,2017,7,3,66,6,"Test"
"1273","Subashis Roy (BDESH)",24,4,103,"1","4.29","1","","v Sri Lanka","Galle","7 Mar 2017","","BDESH",2017-03-07,2017,7,3,66,6,"Test"
"1274","JR Hazlewood (AUS)",44,10,103,"1","2.34","2","","v India","Ranchi","16 Mar 2017","","AUS",2017-03-16,2017,16,3,75,6,"Test"
"1275","D Bishoo (WI)",33,2,106,"1","3.21","2","","v Pakistan","Kingston","21 Apr 2017","","WI",2017-04-21,2017,21,4,111,6,"Test"
"1276","R Ashwin (INDIA)",34,2,114,"1","3.35","1","","v Australia","Ranchi","16 Mar 2017","","INDIA",2017-03-16,2017,16,3,75,6,"Test"
"1277","Yasir Shah (PAK)",14,0,124,"1","8.85","3","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"1278","Taskin Ahmed (BDESH)",25,2,127,"1","5.08","1","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH",2017-02-09,2017,9,2,40,6,"Test"
"1279","Taskin Ahmed (BDESH)",29,4,141,"1","4.86","2","","v New Zealand","Wellington","12 Jan 2017","","BDESH",2017-01-12,2017,12,1,12,6,"Test"
"1280","MDK Perera (SL)",40,3,147,"1","3.67","1","","v India","Colombo (SSC)","3 Aug 2017","","SL",2017-08-03,2017,3,8,215,6,"Test"
"1281","HMRKB Herath (SL)",40,6,159,"1","3.97","1","","v India","Galle","26 Jul 2017","","SL",2017-07-26,2017,26,7,207,6,"Test"
"1282","NM Lyon (AUS)",46,2,163,"1","3.54","2","","v India","Ranchi","16 Mar 2017","","AUS",2017-03-16,2017,16,3,75,6,"Test"
"1283","Yasir Shah (PAK)",40,2,167,"1","4.17","1","","v Australia","Sydney","3 Jan 2017","","PAK",2017-01-03,2017,3,1,3,6,"Test"
"1284","MA Starc (AUS)",2,2,0,"0","0.00","4","","v India","Pune","23 Feb 2017","","AUS",2017-02-23,2017,23,2,54,6,"Test"
"1285","JP Duminy (SA)",1,0,1,"0","1.00","3","","v Sri Lanka","Johannesburg","12 Jan 2017","","SA",2017-01-12,2017,12,1,12,6,"Test"
"1286","Tanveer Ahmed (HKG)",1,0,2,"0","2.00","2","","v Netherlands","Dubai (DSC)","18 Jan 2017","","HKG",2017-01-18,2017,18,1,18,6,"T20I"
"1287","MR Marsh (AUS)",2,0,2,"0","1.00","1","","v India","Bengaluru","4 Mar 2017","","AUS",2017-03-04,2017,4,3,63,6,"Test"
"1288","JO Holder (WI)",2,1,2,"0","1.00","4","","v Pakistan","Kingston","21 Apr 2017","","WI",2017-04-21,2017,21,4,111,6,"Test"
"1289","MD Gunathilaka (SL)",1,0,2,"0","2.00","2","","v Pakistan","Cardiff","12 Jun 2017","","SL",2017-06-12,2017,12,6,163,6,"ODI"
"1290","JL Carter (WI)",0.1,0,2,"0","12.00","1","","v India","Port of Spain","25 Jun 2017","","WI",2017-06-25,2017,25,6,176,6,"ODI"
"1291","MD Gunathilaka (SL)",1,0,2,"0","2.00","2","","v Zimbabwe","Hambantota","10 Jul 2017","","SL",2017-07-10,2017,10,7,191,6,"ODI"
"1292","MN Waller (ZIM)",1,0,2,"0","2.00","2","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM",2017-07-14,2017,14,7,195,6,"Test"
"1293","KK Jennings (ENG)",1,0,2,"0","2.00","1","","v South Africa","Nottingham","14 Jul 2017","","ENG",2017-07-14,2017,14,7,195,6,"Test"
"1294","Azhar Ali (PAK)",2,0,3,"0","1.50","4","","v West Indies","Roseau","10 May 2017","","PAK",2017-05-10,2017,10,5,130,6,"Test"
"1295","CR Brathwaite (WI)",1,0,3,"0","3.00","1","","v Afghanistan","Basseterre","5 Jun 2017","","WI",2017-06-05,2017,5,6,156,6,"T20I"
"1296","DM de Silva (SL)",1,0,3,"0","3.00","2","","v Pakistan","Cardiff","12 Jun 2017","","SL",2017-06-12,2017,12,6,163,6,"ODI"
"1297","Imad Wasim (PAK)",0.3,0,3,"0","6.00","2","","v India","The Oval","18 Jun 2017","","PAK",2017-06-18,2017,18,6,169,6,"ODI"
"1298","C de Grandhomme (NZ)",1,0,4,"0","4.00","2","","v Bangladesh","Mount Maunganui","8 Jan 2017","","NZ",2017-01-08,2017,8,1,8,6,"T20I"
"1299","Soumya Sarkar (BDESH)",1,0,4,"0","4.00","1","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH",2017-02-09,2017,9,2,40,6,"Test"
"1300","JP Duminy (SA)",1,0,4,"0","4.00","1","","v New Zealand","Hamilton","19 Feb 2017","","SA",2017-02-19,2017,19,2,50,6,"ODI"
"1301","MR Marsh (AUS)",3,0,4,"0","1.33","3","","v India","Bengaluru","4 Mar 2017","","AUS",2017-03-04,2017,4,3,63,6,"Test"
"1302","DAS Gunaratne (SL)",1,0,4,"0","4.00","4","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"1303","JP Duminy (SA)",3,1,4,"0","1.33","3","","v New Zealand","Wellington","16 Mar 2017","","SA",2017-03-16,2017,16,3,75,6,"Test"
"1304","Azhar Ali (PAK)",1,0,4,"0","4.00","1","","v West Indies","Bridgetown","30 Apr 2017","","PAK",2017-04-30,2017,30,4,120,6,"Test"
"1305","JE Root (ENG)",1,0,4,"0","4.00","2","","v South Africa","Leeds","24 May 2017","","ENG",2017-05-24,2017,24,5,144,6,"ODI"
"1306","CR Woakes (ENG)",2,1,4,"0","2.00","1","","v Bangladesh","The Oval","1 Jun 2017","","ENG",2017-06-01,2017,1,6,152,6,"ODI"
"1307","Mehidy Hasan Miraz (BDESH)",1,0,4,"0","4.00","2","","v Australia","The Oval","5 Jun 2017","","BDESH",2017-06-05,2017,5,6,156,6,"ODI"
"1308","SPD Smith (AUS)",1,0,5,"0","5.00","4","","v Pakistan","Sydney","3 Jan 2017","","AUS",2017-01-03,2017,3,1,3,6,"Test"
"1309","KJ O'Brien (IRE)",3,0,5,"0","1.66","1","","v U.A.E.","ICCA Dubai","4 Mar 2017","","IRE",2017-03-04,2017,4,3,63,6,"ODI"
"1310","DM de Silva (SL)",2,0,5,"0","2.50","2","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"1311","GJ Maxwell (AUS)",2,0,5,"0","2.50","2","","v India","Dharamsala","25 Mar 2017","","AUS",2017-03-25,2017,25,3,84,6,"Test"
"1312","Mahmudullah (BDESH)",1,0,5,"0","5.00","1","","v Sri Lanka","Colombo (SSC)","1 Apr 2017","","BDESH",2017-04-01,2017,1,4,91,6,"ODI"
"1313","JN Mohammed (WI)",1,0,5,"0","5.00","2","","v Pakistan","Port of Spain","2 Apr 2017","","WI",2017-04-02,2017,2,4,92,6,"T20I"
"1314","JL Carter (WI)",1.2,0,5,"0","3.75","1","","v India","Port of Spain","23 Jun 2017","","WI",2017-06-23,2017,23,6,174,6,"ODI"
"1315","MD Gunathilaka (SL)",1,0,5,"0","5.00","1","","v Zimbabwe","Hambantota","6 Jul 2017","","SL",2017-07-06,2017,6,7,187,6,"ODI"
"1316","SCJ Broad (ENG)",3,1,5,"0","1.66","4","","v South Africa","Lord's","6 Jul 2017","","ENG",2017-07-06,2017,6,7,187,6,"Test"
"1317","JE Root (ENG)",2,0,5,"0","2.50","2","","v South Africa","The Oval","27 Jul 2017","","ENG",2017-07-27,2017,27,7,208,6,"Test"
"1318","I Sharma (INDIA)",3,0,6,"0","2.00","3","","v Australia","Pune","23 Feb 2017","","INDIA",2017-02-23,2017,23,2,54,6,"Test"
"1319","Mahmudullah (BDESH)",2,0,6,"0","3.00","2","","v Sri Lanka","Colombo (RPS)","4 Apr 2017","","BDESH",2017-04-04,2017,4,4,94,6,"T20I"
"1320","MC Henriques (AUS)",1,0,6,"0","6.00","2","","v England","Birmingham","10 Jun 2017","","AUS",2017-06-10,2017,10,6,161,6,"ODI"
"1321","DT Tiripano (ZIM)",1,0,6,"0","6.00","2","","v Sri Lanka","Galle","2 Jul 2017","","ZIM",2017-07-02,2017,2,7,183,6,"ODI"
"1322","R Powell (WI)",1,0,6,"0","6.00","2","","v India","Kingston","6 Jul 2017","","WI",2017-07-06,2017,6,7,187,6,"ODI"
"1323","Rashid Khan (AFG)",2,0,7,"0","3.50","1","","v Ireland","Dubai (DSC)","20 Jan 2017","","AFG",2017-01-20,2017,20,1,20,6,"T20I"
"1324","KJ O'Brien (IRE)",1,0,7,"0","7.00","2","","v Afghanistan","Dubai (DSC)","20 Jan 2017","","IRE",2017-01-20,2017,20,1,20,6,"T20I"
"1325","JP Duminy (SA)",2,0,7,"0","3.50","1","","v Sri Lanka","Port Elizabeth","28 Jan 2017","","SA",2017-01-28,2017,28,1,28,6,"ODI"
"1326","JR Hazlewood (AUS)",2,0,7,"0","3.50","4","","v India","Pune","23 Feb 2017","","AUS",2017-02-23,2017,23,2,54,6,"Test"
"1327","KK Nair (INDIA)",1,0,7,"0","7.00","2","","v Australia","Bengaluru","4 Mar 2017","","INDIA",2017-03-04,2017,4,3,63,6,"Test"
"1328","DM de Silva (SL)",2,0,7,"0","3.50","4","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"1329","RAS Lakmal (SL)",2,0,7,"0","3.50","4","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL",2017-03-15,2017,15,3,74,6,"Test"
"1330","PR Stirling (IRE)",1,0,7,"0","7.00","2","","v Afghanistan","Greater Noida","24 Mar 2017","","IRE",2017-03-24,2017,24,3,83,6,"ODI"
"1331","T Bavuma (SA)",2,0,7,"0","3.50","2","","v New Zealand","Hamilton","25 Mar 2017","","SA",2017-03-25,2017,25,3,84,6,"Test"
"1332","MJ Santner (NZ)",3,0,7,"0","2.33","3","","v South Africa","Hamilton","25 Mar 2017","","NZ",2017-03-25,2017,25,3,84,6,"Test"
"1333","Mosaddek Hossain (BDESH)",1,0,7,"0","7.00","2","","v Sri Lanka","Colombo (RPS)","4 Apr 2017","","BDESH",2017-04-04,2017,4,4,94,6,"T20I"
"1334","CA Soper (PNG)",2,0,7,"0","3.50","1","","v U.A.E.","Abu Dhabi","14 Apr 2017","","PNG",2017-04-14,2017,14,4,104,6,"T20I"
"1335","S Bau (PNG)",1,0,7,"0","7.00","2","","v U.A.E.","Abu Dhabi","14 Apr 2017","","PNG",2017-04-14,2017,14,4,104,6,"T20I"
"1336","JO Holder (WI)",9,4,7,"0","0.77","3","","v Pakistan","Roseau","10 May 2017","","WI",2017-05-10,2017,10,5,130,6,"Test"
"1337","Mosaddek Hossain (BDESH)",3,0,7,"0","2.33","2","","v New Zealand","Dublin","17 May 2017","","BDESH",2017-05-17,2017,17,5,137,6,"ODI"
"1338","JP Duminy (SA)",2,0,7,"0","3.50","2","","v Sri Lanka","The Oval","3 Jun 2017","","SA",2017-06-03,2017,3,6,154,6,"ODI"
"1339","DJ Malan (ENG)",1,0,7,"0","7.00","2","","v South Africa","Manchester","4 Aug 2017","","ENG",2017-08-04,2017,4,8,216,6,"Test"
"1340","Rohan Mustafa (UAE)",1,0,8,"0","8.00","1","","v Ireland","Dubai (DSC)","18 Jan 2017","","UAE",2017-01-18,2017,18,1,18,6,"T20I"
"1341","DM de Silva (SL)",1,0,8,"0","8.00","2","","v South Africa","Johannesburg","4 Feb 2017","","SL",2017-02-04,2017,4,2,35,6,"ODI"
"1342","Hashmatullah Shahidi (AFG)",1,0,8,"0","8.00","2","","v Zimbabwe","Harare","16 Feb 2017","","AFG",2017-02-16,2017,16,2,47,6,"ODI"
"1343","AR McBrine (IRE)",1,0,8,"0","8.00","2","","v Afghanistan","Greater Noida","8 Mar 2017","","IRE",2017-03-08,2017,8,3,67,6,"T20I"
"1344","Mohammad Hafeez (PAK)",1,0,8,"0","8.00","1","","v West Indies","Bridgetown","26 Mar 2017","","PAK",2017-03-26,2017,26,3,85,6,"T20I"
"1345","Mahmudullah (BDESH)",1,0,8,"0","8.00","2","","v New Zealand","Dublin","17 May 2017","","BDESH",2017-05-17,2017,17,5,137,6,"ODI"
"1346","RL Chase (WI)",2,0,8,"0","4.00","1","","v Afghanistan","Gros Islet","9 Jun 2017","","WI",2017-06-09,2017,9,6,160,6,"ODI"
"1347","R Powell (WI)",2.2,0,8,"0","3.42","1","","v Afghanistan","Gros Islet","11 Jun 2017","","WI",2017-06-11,2017,11,6,162,6,"ODI"
"1348","CD de Lange (SCOT)",2,0,8,"0","4.00","2","","v Zimbabwe","Edinburgh","17 Jun 2017","","SCOT",2017-06-17,2017,17,6,168,6,"ODI"
"1349","JE Root (ENG)",2,0,8,"0","4.00","4","","v South Africa","Manchester","4 Aug 2017","","ENG",2017-08-04,2017,4,8,216,6,"Test"
"1350","KJ Abbott (SA)",8,3,9,"0","1.12","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"1351","Mosaddek Hossain (BDESH)",2,0,9,"0","4.50","2","","v New Zealand","Napier","3 Jan 2017","","BDESH",2017-01-03,2017,3,1,3,6,"T20I"
"1352","KJ O'Brien (IRE)",1,0,9,"0","9.00","2","","v Afghanistan","Abu Dhabi","14 Jan 2017","","IRE",2017-01-14,2017,14,1,14,6,"T20I"
"1353","DM de Silva (SL)",2,0,9,"0","4.50","2","","v South Africa","Port Elizabeth","28 Jan 2017","","SL",2017-01-28,2017,28,1,28,6,"ODI"
"1354","F Behardien (SA)",1,0,9,"0","9.00","2","","v Sri Lanka","Cape Town","7 Feb 2017","","SA",2017-02-07,2017,7,2,38,6,"ODI"
"1355","MJ Santner (NZ)",2,0,9,"0","4.50","2","","v South Africa","Auckland","4 Mar 2017","","NZ",2017-03-04,2017,4,3,63,6,"ODI"
"1356","Soumya Sarkar (BDESH)",3,0,9,"0","3.00","1","","v Sri Lanka","Galle","7 Mar 2017","","BDESH",2017-03-07,2017,7,3,66,6,"Test"
"1357","Samiullah Shenwari (AFG)",1,0,9,"0","9.00","1","","v Ireland","Greater Noida","24 Mar 2017","","AFG",2017-03-24,2017,24,3,83,6,"ODI"
"1358","GJ Maxwell (AUS)",1,0,9,"0","9.00","1","","v Bangladesh","The Oval","5 Jun 2017","","AUS",2017-06-05,2017,5,6,156,6,"ODI"
