"","Player","Overs","Mdns","Runs","Wkts","Econ","Inns","","Opposition","Ground","Start Date","","Country","Date","Year","Day","Month","Yday","BPO","type"
"38","MM Ali (ENG)",19.5,1,69,"5","3.47","4","","v South Africa","Manchester","4 Aug 2017","","ENG",2017-08-04,2017,4,8,216,6,"Test"
"39","JM Anderson (ENG)",23.2,6,72,"5","3.08","1","","v South Africa","Nottingham","14 Jul 2017","","ENG",2017-07-14,2017,14,7,195,6,"Test"
"40","NM Lyon (AUS)",34.1,5,92,"5","2.69","2","","v India","Dharamsala","25 Mar 2017","","AUS",2017-03-25,2017,25,3,84,6,"Test"
"41","Yasir Shah (PAK)",37,13,92,"5","2.48","4","","v West Indies","Roseau","10 May 2017","","PAK",2017-05-10,2017,10,5,130,6,"Test"
"42","TG Southee (NZ)",28.3,7,94,"5","3.29","1","","v Bangladesh","Christchurch","20 Jan 2017","","NZ",2017-01-20,2017,20,1,20,6,"Test"
"43","KA Maharaj (SA)",28.3,7,94,"5","3.29","2","","v New Zealand","Dunedin","8 Mar 2017","","SA",2017-03-08,2017,8,3,67,6,"Test"
"44","HMRKB Herath (SL)",32,4,116,"5","3.62","1","","v Zimbabwe","Colombo (RPS)","14 Jul 2017","","SL",2017-07-14,2017,14,7,195,6,"Test"
"45","RA Jadeja (INDIA)",49.3,8,124,"5","2.50","1","","v Australia","Ranchi","16 Mar 2017","","INDIA",2017-03-16,2017,16,3,75,6,"Test"
"46","AG Cremer (ZIM)",39.3,4,125,"5","3.16","2","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM",2017-07-14,2017,14,7,195,6,"Test"
"47","RA Jadeja (INDIA)",39,5,152,"5","3.89","3","","v Sri Lanka","Colombo (SSC)","3 Aug 2017","","INDIA",2017-08-03,2017,3,8,215,6,"Test"
"48","Mohammad Nabi (AFG)",2.2,0,10,"4","4.28","1","","v Ireland","Dubai (DSC)","20 Jan 2017","","AFG",2017-01-20,2017,20,1,20,6,"T20I"
"49","Shadab Khan (PAK)",4,1,14,"4","3.50","2","","v West Indies","Port of Spain","30 Mar 2017","","PAK",2017-03-30,2017,30,3,89,6,"T20I"
"50","J Mulder (IRE)",4,0,16,"4","4.00","2","","v Scotland","Dubai (DSC)","20 Jan 2017","","IRE",2017-01-20,2017,20,1,20,6,"T20I"
"51","L Ngidi (SA)",4,0,19,"4","4.75","2","","v Sri Lanka","Johannesburg","22 Jan 2017","","SA",2017-01-22,2017,22,1,22,6,"T20I"
"52","Mustafizur Rahman (BDESH)",3,0,21,"4","7.00","2","","v Sri Lanka","Colombo (RPS)","6 Apr 2017","","BDESH",2017-04-06,2017,6,4,96,6,"T20I"
"53","PADLR Sandakan (SL)",4,0,23,"4","5.75","1","","v South Africa","Johannesburg","22 Jan 2017","","SL",2017-01-22,2017,22,1,22,6,"T20I"
"54","Mustafizur Rahman (BDESH)",9,2,23,"4","2.55","1","","v Ireland","Dublin (Malahide)","19 May 2017","","BDESH",2017-05-19,2017,19,5,139,6,"ODI"
"55","Imran Haider (UAE)",10,1,25,"4","2.50","1","","v Hong Kong","Dubai (DSC)","26 Jan 2017","","UAE",2017-01-26,2017,26,1,26,6,"ODI"
"56","KJ O'Brien (IRE)",7,1,26,"4","3.71","1","","v Afghanistan","Greater Noida","22 Mar 2017","","IRE",2017-03-22,2017,22,3,81,6,"ODI"
"57","VD Philander (SA)",12,4,27,"4","2.25","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"58","Gulbadin Naib (AFG)",6,0,27,"4","4.50","1","","v Zimbabwe","Harare","21 Feb 2017","","AFG",2017-02-21,2017,21,2,52,6,"ODI"
"59","Imran Tahir (SA)",8.3,0,27,"4","3.17","2","","v Sri Lanka","The Oval","3 Jun 2017","","SA",2017-06-03,2017,3,6,154,6,"ODI"
"60","Rashid Khan (AFG)",10,1,29,"4","2.90","1","","v Ireland","Greater Noida","24 Mar 2017","","AFG",2017-03-24,2017,24,3,83,6,"ODI"
"61","MA Starc (AUS)",8.3,2,29,"4","3.41","1","","v Bangladesh","The Oval","5 Jun 2017","","AUS",2017-06-05,2017,5,6,156,6,"ODI"
"62","Mohammad Nabi (AFG)",9,0,30,"4","3.33","2","","v Ireland","Greater Noida","22 Mar 2017","","AFG",2017-03-22,2017,22,3,81,6,"ODI"
"63","CH Morris (SA)",10,1,31,"4","3.10","2","","v Sri Lanka","Centurion","10 Feb 2017","","SA",2017-02-10,2017,10,2,41,6,"ODI"
"64","KMDN Kulasekara (SL)",4,0,31,"4","7.75","1","","v Australia","Geelong","19 Feb 2017","","SL",2017-02-19,2017,19,2,50,6,"T20I"
"65","JP Faulkner (AUS)",7,1,32,"4","4.57","2","","v Pakistan","Brisbane","13 Jan 2017","","AUS",2017-01-13,2017,13,1,13,6,"ODI"
"66","UT Yadav (INDIA)",12,3,32,"4","2.66","1","","v Australia","Pune","23 Feb 2017","","INDIA",2017-02-23,2017,23,2,54,6,"Test"
"67","D Paterson (SA)",4,0,32,"4","8.00","1","","v England","Cardiff","25 Jun 2017","","SA",2017-06-25,2017,25,6,176,6,"T20I"
"68","Nadeem Ahmed (HKG)",10,0,33,"4","3.30","1","","v Scotland","Abu Dhabi","22 Jan 2017","","HKG",2017-01-22,2017,22,1,22,6,"ODI"
"69","BJ McCarthy (IRE)",4,0,33,"4","8.25","1","","v Afghanistan","Greater Noida","10 Mar 2017","","IRE",2017-03-10,2017,10,3,69,6,"T20I"
"70","MA Wood (ENG)",10,1,33,"4","3.30","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"71","JH Davey (SCOT)",4,0,34,"4","8.50","2","","v Netherlands","Abu Dhabi","17 Jan 2017","","SCOT",2017-01-17,2017,17,1,17,6,"T20I"
"72","K Rabada (SA)",12,2,37,"4","3.08","2","","v Sri Lanka","Cape Town","2 Jan 2017","","SA",2017-01-02,2017,2,1,2,6,"Test"
"73","KMDN Kulasekara (SL)",7.3,0,37,"4","4.93","2","","v Bangladesh","Colombo (SSC)","1 Apr 2017","","SL",2017-04-01,2017,1,4,91,6,"ODI"
"74","CR Woakes (ENG)",8,0,38,"4","4.75","2","","v South Africa","Leeds","24 May 2017","","ENG",2017-05-24,2017,24,5,144,6,"ODI"
"75","JM Anderson (ENG)",17,5,38,"4","2.23","2","","v South Africa","Manchester","4 Aug 2017","","ENG",2017-08-04,2017,4,8,216,6,"Test"
"76","K Rabada (SA)",9,1,39,"4","4.33","1","","v England","Lord's","29 May 2017","","SA",2017-05-29,2017,29,5,149,6,"ODI"
"77","LE Plunkett (ENG)",8.2,1,40,"4","4.80","2","","v West Indies","North Sound","3 Mar 2017","","ENG",2017-03-03,2017,3,3,62,6,"ODI"
"78","AU Rashid (ENG)",10,1,41,"4","4.10","1","","v Australia","Birmingham","10 Jun 2017","","ENG",2017-06-10,2017,10,6,161,6,"ODI"
"79","M Morkel (SA)",13.1,2,41,"4","3.11","3","","v England","Manchester","4 Aug 2017","","SA",2017-08-04,2017,4,8,216,6,"Test"
"80","MA Starc (AUS)",9.1,1,42,"4","4.58","2","","v Pakistan","Adelaide","26 Jan 2017","","AUS",2017-01-26,2017,26,1,26,6,"ODI"
"81","Dawlat Zadran (AFG)",4,0,44,"4","11.00","1","","v U.A.E.","Abu Dhabi","16 Jan 2017","","AFG",2017-01-16,2017,16,1,16,6,"T20I"
"82","KJ O'Brien (IRE)",4,0,45,"4","11.25","1","","v Afghanistan","Greater Noida","12 Mar 2017","","IRE",2017-03-12,2017,12,3,71,6,"T20I"
"83","MM Ali (ENG)",16.1,5,45,"4","2.78","4","","v South Africa","The Oval","27 Jul 2017","","ENG",2017-07-27,2017,27,7,208,6,"Test"
"84","CR Woakes (ENG)",9,1,47,"4","5.22","2","","v West Indies","North Sound","3 Mar 2017","","ENG",2017-03-03,2017,3,3,62,6,"ODI"
