"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"1468","M Azharuddin (INDIA)","0","5","3","0","0","0.00","3","","v England","Birmingham","6 Jun 1996",""
"1469","MA Atherton (ENG)","0","3","5","0","0","0.00","1","","v India","Lord's","20 Jun 1996",""
"1470","DG Cork (ENG)","0","23","24","0","0","0.00","1","","v India","Lord's","20 Jun 1996",""
"1471","A Kumble (INDIA)","0","4","6","0","0","0.00","1","","v England","Nottingham","4 Jul 1996",""
"1472","RC Russell (ENG)","0","5","5","0","0","0.00","2","","v India","Nottingham","4 Jul 1996",""
"1473","SLV Raju (INDIA)","0","4","4","0","0","0.00","3","","v England","Nottingham","4 Jul 1996",""
"1474","AD Mullally (ENG)","0","3","2","0","0","0.00","2","","v Pakistan","Lord's","25 Jul 1996",""
"1475","DG Cork (ENG)","0","5","5","0","0","0.00","1","","v Pakistan","The Oval","22 Aug 1996",""
"1476","AD Mullally (ENG)","0","1","1","0","0","0.00","3","","v Pakistan","The Oval","22 Aug 1996",""
"1477","ST Jayasuriya (SL)","0","6","1","0","0","0.00","1","","v Zimbabwe","Colombo (RPS)","11 Sep 1996",""
"1478","M Muralitharan (SL)","0","5","1","0","0","0.00","1","","v Zimbabwe","Colombo (RPS)","11 Sep 1996",""
"1479","KJ Silva (SL)","0","1","2","0","0","0.00","1","","v Zimbabwe","Colombo (RPS)","11 Sep 1996",""
"1480","GW Flower (ZIM)","0","1","1","0","0","0.00","2","","v Sri Lanka","Colombo (RPS)","11 Sep 1996",""
"1481","A Flower (ZIM)","0","1","1","0","0","0.00","3","","v Sri Lanka","Colombo (RPS)","11 Sep 1996",""
"1482","HK Olonga (ZIM)","0","2","3","0","0","0.00","3","","v Sri Lanka","Colombo (RPS)","11 Sep 1996",""
"1483","GJ Whittall (ZIM)","0","6","3","0","0","0.00","1","","v Sri Lanka","Colombo (SSC)","18 Sep 1996",""
"1484","SR Waugh (AUS)","0","4","5","0","0","0.00","1","","v India","Delhi","10 Oct 1996",""
"1485","MJ Slater (AUS)","0","7","2","0","0","0.00","3","","v India","Delhi","10 Oct 1996",""
"1486","GD McGrath (AUS)","0","7","8","0","0","0.00","3","","v India","Delhi","10 Oct 1996",""
"1487","NR Mongia (INDIA)","0","9","6","0","0","0.00","4","","v Australia","Delhi","10 Oct 1996",""
"1488","SR Tendulkar (INDIA)","0","6","7","0","0","0.00","4","","v Australia","Delhi","10 Oct 1996",""
"1489","CB Wishart (ZIM)","0","1","1","0","0","0.00","1","","v Pakistan","Sheikhupura","17 Oct 1996",""
"1490","GJ Whittall (ZIM)","0","4","2","0","0","0.00","1","","v Pakistan","Sheikhupura","17 Oct 1996",""
"1491","AR Whittall (ZIM)","0","7","3","0","0","0.00","1","","v Pakistan","Sheikhupura","17 Oct 1996",""
"1492","Waqar Younis (PAK)","0","1","1","0","0","0.00","2","","v Zimbabwe","Sheikhupura","17 Oct 1996",""
"1493","Shahid Nazir (PAK)","0","13","10","0","0","0.00","2","","v Zimbabwe","Sheikhupura","17 Oct 1996",""
"1494","CB Wishart (ZIM)","0","12","1","0","0","0.00","1","","v Pakistan","Faisalabad","24 Oct 1996",""
"1495","M Mbangwa (ZIM)","0","32","23","0","0","0.00","1","","v Pakistan","Faisalabad","24 Oct 1996",""
"1496","Mohammad Hussain (PAK)","0","11","7","0","0","0.00","2","","v Zimbabwe","Faisalabad","24 Oct 1996",""
"1497","GW Flower (ZIM)","0","2","2","0","0","0.00","3","","v Pakistan","Faisalabad","24 Oct 1996",""
"1498","MH Dekker (ZIM)","0","6","1","0","0","0.00","3","","v Pakistan","Faisalabad","24 Oct 1996",""
"1499","GJ Whittall (ZIM)","0","9","6","0","0","0.00","3","","v Pakistan","Faisalabad","24 Oct 1996",""
"1500","BKV Prasad (INDIA)","0","1","2","0","0","0.00","3","","v South Africa","Ahmedabad","20 Nov 1996",""
"1501","AC Hudson (SA)","0","3","5","0","0","0.00","4","","v India","Ahmedabad","20 Nov 1996",""
"1502","DJ Cullinan (SA)","0","1","1","0","0","0.00","4","","v India","Ahmedabad","20 Nov 1996",""
"1503","JN Rhodes (SA)","0","1","1","0","0","0.00","4","","v India","Ahmedabad","20 Nov 1996",""
"1504","PL Symcox (SA)","0","11","4","0","0","0.00","4","","v India","Ahmedabad","20 Nov 1996",""
"1505","PS de Villiers (SA)","0","2","4","0","0","0.00","4","","v India","Ahmedabad","20 Nov 1996",""
"1506","PR Adams (SA)","0","1","1","0","0","0.00","4","","v India","Ahmedabad","20 Nov 1996",""
"1507","NJ Astle (NZ)","0","8","10","0","0","0.00","1","","v Pakistan","Lahore","21 Nov 1996",""
"1508","LK Germon (NZ)","0","3","2","0","0","0.00","1","","v Pakistan","Lahore","21 Nov 1996",""
"1509","Inzamam-ul-Haq (PAK)","0","6","5","0","0","0.00","2","","v New Zealand","Lahore","21 Nov 1996",""
"1510","Mohammad Wasim (PAK)","0","3","4","0","0","0.00","2","","v New Zealand","Lahore","21 Nov 1996",""
"1511","CZ Harris (NZ)","0","11","6","0","0","0.00","3","","v Pakistan","Lahore","21 Nov 1996",""
"1512","DN Patel (NZ)","0","4","1","0","0","0.00","3","","v Pakistan","Lahore","21 Nov 1996",""
"1513","Saeed Anwar (PAK)","0","1","2","0","0","0.00","4","","v New Zealand","Lahore","21 Nov 1996",""
"1514","Saqlain Mushtaq (PAK)","0","6","5","0","0","0.00","4","","v New Zealand","Lahore","21 Nov 1996",""
"1515","MTG Elliott (AUS)","0","18","15","0","0","0.00","1","","v West Indies","Brisbane","22 Nov 1996",""
"1516","MG Bevan (AUS)","0","1","1","0","0","0.00","1","","v West Indies","Brisbane","22 Nov 1996",""
"1517","GD McGrath (AUS)","0","5","5","0","0","0.00","1","","v West Indies","Brisbane","22 Nov 1996",""
"1518","JC Adams (WI)","0","10","6","0","0","0.00","2","","v Australia","Brisbane","22 Nov 1996",""
"1519","IR Bishop (WI)","0","6","6","0","0","0.00","2","","v Australia","Brisbane","22 Nov 1996",""
"1520","CEL Ambrose (WI)","0","11","1","0","0","0.00","2","","v Australia","Brisbane","22 Nov 1996",""
"1521","BM McMillan (SA)","0","3","2","0","0","0.00","1","","v India","Kolkata","27 Nov 1996",""
"1522","AA Donald (SA)","0","3","2","0","0","0.00","1","","v India","Kolkata","27 Nov 1996",""
"1523","SC Ganguly (INDIA)","0","2","4","0","0","0.00","4","","v South Africa","Kolkata","27 Nov 1996",""
"1524","ND Hirwani (INDIA)","0","1","2","0","0","0.00","4","","v South Africa","Kolkata","27 Nov 1996",""
"1525","Mohammad Zahid (PAK)","0","3","1","0","0","0.00","2","","v New Zealand","Rawalpindi","28 Nov 1996",""
"1526","LK Germon (NZ)","0","29","12","0","0","0.00","3","","v Pakistan","Rawalpindi","28 Nov 1996",""
"1527","DN Patel (NZ)","0","19","11","0","0","0.00","3","","v Pakistan","Rawalpindi","28 Nov 1996",""
"1528","CO Browne (WI)","0","4","4","0","0","0.00","2","","v Australia","Sydney","29 Nov 1996",""
"1529","IR Bishop (WI)","0","1","2","0","0","0.00","4","","v Australia","Sydney","29 Nov 1996",""
"1530","CEL Ambrose (WI)","0","6","5","0","0","0.00","4","","v Australia","Sydney","29 Nov 1996",""
"1531","SB Joshi (INDIA)","0","6","5","0","0","0.00","1","","v South Africa","Kanpur","8 Dec 1996",""
"1532","J Srinath (INDIA)","0","1","1","0","0","0.00","1","","v South Africa","Kanpur","8 Dec 1996",""
"1533","SV Carlisle (ZIM)","0","7","3","0","0","0.00","1","","v England","Bulawayo","18 Dec 1996",""
"1534","HK Olonga (ZIM)","0","2","4","0","0","0.00","1","","v England","Bulawayo","18 Dec 1996",""
"1535","CEW Silverwood (ENG)","0","15","17","0","0","0.00","2","","v Zimbabwe","Bulawayo","18 Dec 1996",""
"1536","GW Flower (ZIM)","0","17","15","0","0","0.00","3","","v England","Bulawayo","18 Dec 1996",""
"1537","HK Olonga (ZIM)","0","6","7","0","0","0.00","3","","v England","Bulawayo","18 Dec 1996",""
"1538","N Hussain (ENG)","0","2","2","0","0","0.00","4","","v Zimbabwe","Bulawayo","18 Dec 1996",""
"1539","ME Waugh (AUS)","0","1","1","0","0","0.00","1","","v West Indies","Melbourne","26 Dec 1996",""
"1540","PR Reiffel (AUS)","0","8","4","0","0","0.00","1","","v West Indies","Melbourne","26 Dec 1996",""
"1541","GD McGrath (AUS)","0","5","3","0","0","0.00","1","","v West Indies","Melbourne","26 Dec 1996",""
"1542","IR Bishop (WI)","0","8","3","0","0","0.00","2","","v Australia","Melbourne","26 Dec 1996",""
"1543","ML Hayden (AUS)","0","3","5","0","0","0.00","3","","v West Indies","Melbourne","26 Dec 1996",""
"1544","JL Langer (AUS)","0","12","7","0","0","0.00","3","","v West Indies","Melbourne","26 Dec 1996",""
"1545","IA Healy (AUS)","0","7","5","0","0","0.00","3","","v West Indies","Melbourne","26 Dec 1996",""
"1546","SL Campbell (WI)","0","3","4","0","0","0.00","4","","v Australia","Melbourne","26 Dec 1996",""
"1547","HH Gibbs (SA)","0","18","10","0","0","0.00","1","","v India","Durban","26 Dec 1996",""
"1548","WV Raman (INDIA)","0","13","3","0","0","0.00","2","","v South Africa","Durban","26 Dec 1996",""
"1549","J Srinath (INDIA)","0","2","1","0","0","0.00","2","","v South Africa","Durban","26 Dec 1996",""
"1550","SC Ganguly (INDIA)","0","1","1","0","0","0.00","4","","v South Africa","Durban","26 Dec 1996",""
"1551","AD Mullally (ENG)","0","3","2","0","0","0.00","1","","v Zimbabwe","Harare","26 Dec 1996",""
"1552","HK Olonga (ZIM)","0","9","6","0","0","0.00","2","","v England","Harare","26 Dec 1996",""
"1553","BKV Prasad (INDIA)","0","4","2","0","0","0.00","2","","v South Africa","Cape Town","2 Jan 1997",""
"1554","G Kirsten (SA)","0","16","10","0","0","0.00","3","","v India","Cape Town","2 Jan 1997",""
"1555","AM Bacher (SA)","0","5","3","0","0","0.00","3","","v India","Cape Town","2 Jan 1997",""
"1556","SM Pollock (SA)","0","7","4","0","0","0.00","4","","v India","Johannesburg","16 Jan 1997",""
"1557","DN Patel (NZ)","0","1","1","0","0","0.00","1","","v England","Auckland","24 Jan 1997",""
"1558","C White (ENG)","0","1","1","0","0","0.00","2","","v New Zealand","Auckland","24 Jan 1997",""
"1559","DN Patel (NZ)","0","23","15","0","0","0.00","3","","v England","Auckland","24 Jan 1997",""
"1560","SL Campbell (WI)","0","18","16","0","0","0.00","1","","v Australia","Adelaide","25 Jan 1997",""
"1561","CA Walsh (WI)","0","3","4","0","0","0.00","1","","v Australia","Adelaide","25 Jan 1997",""
"1562","JC Adams (WI)","0","14","8","0","0","0.00","3","","v Australia","Adelaide","25 Jan 1997",""
"1563","IR Bishop (WI)","0","6","5","0","0","0.00","3","","v Australia","Adelaide","25 Jan 1997",""
"1564","ML Hayden (AUS)","0","2","3","0","0","0.00","1","","v West Indies","Perth","1 Feb 1997",""
"1565","PR Reiffel (AUS)","0","1","1","0","0","0.00","1","","v West Indies","Perth","1 Feb 1997",""
"1566","GD McGrath (AUS)","0","2","3","0","0","0.00","1","","v West Indies","Perth","1 Feb 1997",""
"1567","PV Simmons (WI)","0","3","5","0","0","0.00","2","","v Australia","Perth","1 Feb 1997",""
"1568","CO Browne (WI)","0","2","3","0","0","0.00","2","","v Australia","Perth","1 Feb 1997",""
"1569","GS Blewett (AUS)","0","8","1","0","0","0.00","3","","v West Indies","Perth","1 Feb 1997",""
"1570","SR Waugh (AUS)","0","7","6","0","0","0.00","3","","v West Indies","Perth","1 Feb 1997",""
"1571","SB Doull (NZ)","0","2","2","0","0","0.00","1","","v England","Wellington","6 Feb 1997",""
"1572","RDB Croft (ENG)","0","6","4","0","0","0.00","2","","v New Zealand","Wellington","6 Feb 1997",""
"1573","SP Fleming (NZ)","0","10","11","0","0","0.00","3","","v England","Wellington","6 Feb 1997",""
"1574","DN Patel (NZ)","0","5","2","0","0","0.00","3","","v England","Wellington","6 Feb 1997",""
"1575","SB Doull (NZ)","0","2","3","0","0","0.00","3","","v England","Wellington","6 Feb 1997",""
"1576","D Gough (ENG)","0","8","9","0","0","0.00","2","","v New Zealand","Christchurch","14 Feb 1997",""
"1577","BA Pocock (NZ)","0","2","4","0","0","0.00","3","","v England","Christchurch","14 Feb 1997",""
"1578","AC Hudson (SA)","0","2","4","0","0","0.00","1","","v Australia","Johannesburg","28 Feb 1997",""
"1579","DJ Cullinan (SA)","0","15","10","0","0","0.00","3","","v Australia","Johannesburg","28 Feb 1997",""
"1580","L Klusener (SA)","0","9","4","0","0","0.00","3","","v Australia","Johannesburg","28 Feb 1997",""
"1581","AA Donald (SA)","0","5","4","0","0","0.00","3","","v Australia","Johannesburg","28 Feb 1997",""
"1582","PR Adams (SA)","0","2","2","0","0","0.00","3","","v Australia","Johannesburg","28 Feb 1997",""
"1583","A Kuruvilla (INDIA)","0","12","9","0","0","0.00","2","","v West Indies","Kingston","6 Mar 1997",""
"1584","NS Sidhu (INDIA)","0","14","7","0","0","0.00","4","","v West Indies","Kingston","6 Mar 1997",""
"1585","ST Jayasuriya (SL)","0","12","7","0","0","0.00","2","","v New Zealand","Dunedin","7 Mar 1997",""
"1586","DNT Zoysa (SL)","0","11","7","0","0","0.00","2","","v New Zealand","Dunedin","7 Mar 1997",""
"1587","M Muralitharan (SL)","0","13","10","0","0","0.00","2","","v New Zealand","Dunedin","7 Mar 1997",""
"1588","PA de Silva (SL)","0","20","14","0","0","0.00","3","","v New Zealand","Dunedin","7 Mar 1997",""
"1589","GP Wickramasinghe (SL)","0","5","8","0","0","0.00","3","","v New Zealand","Dunedin","7 Mar 1997",""
"1590","NJ Astle (NZ)","0","10","12","0","0","0.00","1","","v Sri Lanka","Hamilton","14 Mar 1997",""
"1591","KSC de Silva (SL)","0","12","8","0","0","0.00","4","","v New Zealand","Hamilton","14 Mar 1997",""
"1592","G Kirsten (SA)","0","27","19","0","0","0.00","1","","v Australia","Port Elizabeth","14 Mar 1997",""
"1593","JH Kallis (SA)","0","19","12","0","0","0.00","1","","v Australia","Port Elizabeth","14 Mar 1997",""
"1594","WJ Cronje (SA)","0","11","7","0","0","0.00","1","","v Australia","Port Elizabeth","14 Mar 1997",""
"1595","SM Pollock (SA)","0","1","1","0","0","0.00","1","","v Australia","Port Elizabeth","14 Mar 1997",""
"1596","ML Hayden (AUS)","0","15","14","0","0","0.00","2","","v South Africa","Port Elizabeth","14 Mar 1997",""
"1597","MG Bevan (AUS)","0","16","13","0","0","0.00","2","","v South Africa","Port Elizabeth","14 Mar 1997",""
"1598","GD McGrath (AUS)","0","5","7","0","0","0.00","2","","v South Africa","Port Elizabeth","14 Mar 1997",""
"1599","CA Walsh (WI)","0","3","3","0","0","0.00","1","","v India","Port of Spain","14 Mar 1997",""
"1600","VVS Laxman (INDIA)","0","2","2","0","0","0.00","2","","v West Indies","Port of Spain","14 Mar 1997",""
"1601","BKV Prasad (INDIA)","0","2","1","0","0","0.00","2","","v West Indies","Port of Spain","14 Mar 1997",""
"1602","SK Warne (AUS)","0","3","3","0","0","0.00","1","","v South Africa","Centurion","21 Mar 1997",""
"1603","GD McGrath (AUS)","0","8","7","0","0","0.00","1","","v South Africa","Centurion","21 Mar 1997",""
"1604","DJ Richardson (SA)","0","2","2","0","0","0.00","2","","v Australia","Centurion","21 Mar 1997",""
"1605","ML Hayden (AUS)","0","9","6","0","0","0.00","3","","v South Africa","Centurion","21 Mar 1997",""
"1606","GS Blewett (AUS)","0","12","10","0","0","0.00","3","","v South Africa","Centurion","21 Mar 1997",""
"1607","JN Gillespie (AUS)","0","3","2","0","0","0.00","3","","v South Africa","Centurion","21 Mar 1997",""
"1608","M Dillon (WI)","0","17","4","0","0","0.00","1","","v India","Bridgetown","27 Mar 1997",""
"1609","A Kuruvilla (INDIA)","0","7","7","0","0","0.00","2","","v West Indies","Bridgetown","27 Mar 1997",""
"1610","BKV Prasad (INDIA)","0","2","2","0","0","0.00","2","","v West Indies","Bridgetown","27 Mar 1997",""
"1611","SC Williams (WI)","0","13","7","0","0","0.00","3","","v India","Bridgetown","27 Mar 1997",""
"1612","BKV Prasad (INDIA)","0","10","10","0","0","0.00","4","","v West Indies","Bridgetown","27 Mar 1997",""
"1613","SC Williams (WI)","0","7","3","0","0","0.00","1","","v India","St John's","4 Apr 1997",""
"1614","MS Atapattu (SL)","0","6","8","0","0","0.00","1","","v Pakistan","Colombo (RPS)","19 Apr 1997",""
"1615","DNT Zoysa (SL)","0","12","6","0","0","0.00","1","","v Pakistan","Colombo (RPS)","19 Apr 1997",""
"1616","Saleem Elahi (PAK)","0","1","1","0","0","0.00","2","","v Sri Lanka","Colombo (RPS)","19 Apr 1997",""
"1617","Moin Khan (PAK)","0","2","2","0","0","0.00","2","","v Sri Lanka","Colombo (RPS)","19 Apr 1997",""
"1618","KSC de Silva (SL)","0","36","18","0","0","0.00","1","","v Pakistan","Colombo (SSC)","26 Apr 1997",""
"1619","KJ Silva (SL)","0","20","8","0","0","0.00","1","","v Pakistan","Colombo (SSC)","26 Apr 1997",""
"1620","Saleem Elahi (PAK)","0","5","4","0","0","0.00","2","","v Sri Lanka","Colombo (SSC)","26 Apr 1997",""
"1621","Mohammad Zahid (PAK)","0","8","4","0","0","0.00","2","","v Sri Lanka","Colombo (SSC)","26 Apr 1997",""
"1622","Rameez Raja (PAK)","0","3","4","0","0","0.00","4","","v Sri Lanka","Colombo (SSC)","26 Apr 1997",""
"1623","IA Healy (AUS)","0","2","1","0","0","0.00","1","","v England","Birmingham","5 Jun 1997",""
"1624","D Gough (ENG)","0","8","9","0","0","0.00","2","","v Australia","Birmingham","5 Jun 1997",""
"1625","AR Caddick (ENG)","0","11","7","0","0","0.00","2","","v Australia","Birmingham","5 Jun 1997",""
"1626","MS Kasprowicz (AUS)","0","1","2","0","0","0.00","3","","v England","Birmingham","5 Jun 1997",""
"1627","JN Gillespie (AUS)","0","11","6","0","0","0.00","3","","v England","Birmingham","5 Jun 1997",""
"1628","RP Arnold (SL)","0","1","1","0","0","0.00","1","","v West Indies","St John's","13 Jun 1997",""
"1629","PA de Silva (SL)","0","11","8","0","0","0.00","1","","v West Indies","St John's","13 Jun 1997",""
"1630","BC Lara (WI)","0","9","6","0","0","0.00","2","","v Sri Lanka","St John's","13 Jun 1997",""
"1631","CO Browne (WI)","0","16","12","0","0","0.00","2","","v Sri Lanka","St John's","13 Jun 1997",""
"1632","FA Rose (WI)","0","6","5","0","0","0.00","2","","v Sri Lanka","St John's","13 Jun 1997",""
"1633","CA Walsh (WI)","0","1","1","0","0","0.00","2","","v Sri Lanka","St John's","13 Jun 1997",""
"1634","ST Jayasuriya (SL)","0","3","3","0","0","0.00","3","","v West Indies","St John's","13 Jun 1997",""
"1635","M Muralitharan (SL)","0","2","2","0","0","0.00","3","","v West Indies","St John's","13 Jun 1997",""
"1636","SK Warne (AUS)","0","5","4","0","0","0.00","2","","v England","Lord's","19 Jun 1997",""
"1637","SR Waugh (AUS)","0","3","1","0","0","0.00","2","","v England","Lord's","19 Jun 1997",""
"1638","N Hussain (ENG)","0","5","5","0","0","0.00","3","","v Australia","Lord's","19 Jun 1997",""
"1639","SC Williams (WI)","0","8","7","0","0","0.00","1","","v Sri Lanka","Kingstown","20 Jun 1997",""
"1640","FL Reifer (WI)","0","1","1","0","0","0.00","1","","v Sri Lanka","Kingstown","20 Jun 1997",""
"1641","CO Browne (WI)","0","6","3","0","0","0.00","1","","v Sri Lanka","Kingstown","20 Jun 1997",""
"1642","KR Pushpakumara (SL)","0","1","3","0","0","0.00","2","","v West Indies","Kingstown","20 Jun 1997",""
"1643","IR Bishop (WI)","0","12","10","0","0","0.00","3","","v Sri Lanka","Kingstown","20 Jun 1997",""
"1644","CO Browne (WI)","0","14","12","0","0","0.00","3","","v Sri Lanka","Kingstown","20 Jun 1997",""
"1645","CA Walsh (WI)","0","2","2","0","0","0.00","3","","v Sri Lanka","Kingstown","20 Jun 1997",""
"1646","S Ranatunga (SL)","0","18","5","0","0","0.00","4","","v West Indies","Kingstown","20 Jun 1997",""
"1647","M Muralitharan (SL)","0","2","2","0","0","0.00","4","","v West Indies","Kingstown","20 Jun 1997",""
"1648","JN Gillespie (AUS)","0","14","8","0","0","0.00","1","","v England","Manchester","3 Jul 1997",""
"1649","DW Headley (ENG)","0","12","10","0","0","0.00","2","","v Australia","Manchester","3 Jul 1997",""
"1650","MG Bevan (AUS)","0","22","16","0","0","0.00","3","","v England","Manchester","3 Jul 1997",""
"1651","D Gough (ENG)","0","6","2","0","0","0.00","1","","v Australia","Leeds","24 Jul 1997",""
"1652","AM Smith (ENG)","0","2","2","0","0","0.00","1","","v Australia","Leeds","24 Jul 1997",""
"1653","MA Taylor (AUS)","0","10","11","0","0","0.00","2","","v England","Leeds","24 Jul 1997",""
"1654","SK Warne (AUS)","0","3","5","0","0","0.00","2","","v England","Leeds","24 Jul 1997",""
"1655","D Gough (ENG)","0","2","1","0","0","0.00","3","","v Australia","Leeds","24 Jul 1997",""
"1656","SC Ganguly (INDIA)","0","5","5","0","0","0.00","1","","v Sri Lanka","Colombo (RPS)","2 Aug 1997",""
"1657","SK Warne (AUS)","0","11","5","0","0","0.00","1","","v England","Nottingham","7 Aug 1997",""
"1658","AR Caddick (ENG)","0","17","6","0","0","0.00","2","","v Australia","Nottingham","7 Aug 1997",""
"1659","AR Caddick (ENG)","0","15","10","0","0","0.00","4","","v Australia","Nottingham","7 Aug 1997",""
"1660","DE Malcolm (ENG)","0","2","2","0","0","0.00","4","","v Australia","Nottingham","7 Aug 1997",""
"1661","KR Pushpakumara (SL)","0","18","10","0","0","0.00","1","","v India","Colombo (SSC)","9 Aug 1997",""
"1662","A Kumble (INDIA)","0","14","7","0","0","0.00","2","","v Sri Lanka","Colombo (SSC)","9 Aug 1997",""
"1663","A Kuruvilla (INDIA)","0","11","5","0","0","0.00","2","","v Sri Lanka","Colombo (SSC)","9 Aug 1997",""
"1664","AJ Hollioake (ENG)","0","5","6","0","0","0.00","1","","v Australia","The Oval","21 Aug 1997",""
"1665","DE Malcolm (ENG)","0","3","1","0","0","0.00","1","","v Australia","The Oval","21 Aug 1997",""
"1666","S Young (AUS)","0","7","3","0","0","0.00","2","","v England","The Oval","21 Aug 1997",""
"1667","MS Kasprowicz (AUS)","0","1","1","0","0","0.00","2","","v England","The Oval","21 Aug 1997",""
"1668","PCR Tufnell (ENG)","0","2","2","0","0","0.00","3","","v Australia","The Oval","21 Aug 1997",""
"1669","DE Malcolm (ENG)","0","2","2","0","0","0.00","3","","v Australia","The Oval","21 Aug 1997",""
"1670","HH Streak (ZIM)","0","2","2","0","0","0.00","1","","v New Zealand","Harare","18 Sep 1997",""
"1671","HH Streak (ZIM)","0","9","5","0","0","0.00","3","","v New Zealand","Harare","18 Sep 1997",""
"1672","MJ Horne (NZ)","0","4","3","0","0","0.00","4","","v Zimbabwe","Harare","18 Sep 1997",""
"1673","NJ Astle (NZ)","0","3","3","0","0","0.00","4","","v Zimbabwe","Harare","18 Sep 1997",""
"1674","BC Strang (ZIM)","0","15","16","0","0","0.00","1","","v New Zealand","Bulawayo","25 Sep 1997",""
"1675","AG Huckle (ZIM)","0","4","4","0","0","0.00","1","","v New Zealand","Bulawayo","25 Sep 1997",""
"1676","CL Cairns (NZ)","0","2","2","0","0","0.00","2","","v Zimbabwe","Bulawayo","25 Sep 1997",""
"1677","Saqlain Mushtaq (PAK)","0","13","5","0","0","0.00","1","","v South Africa","Rawalpindi","6 Oct 1997",""
"1678","AA Donald (SA)","0","21","17","0","0","0.00","2","","v Pakistan","Rawalpindi","6 Oct 1997",""
"1679","DJ Cullinan (SA)","0","5","5","0","0","0.00","1","","v Pakistan","Faisalabad","24 Oct 1997",""
"1680","DJ Richardson (SA)","0","1","1","0","0","0.00","3","","v Pakistan","Faisalabad","24 Oct 1997",""
"1681","PR Adams (SA)","0","21","6","0","0","0.00","3","","v Pakistan","Faisalabad","24 Oct 1997",""
"1682","Saeed Anwar (PAK)","0","12","10","0","0","0.00","4","","v South Africa","Faisalabad","24 Oct 1997",""
"1683","Ijaz Ahmed (PAK)","0","1","1","0","0","0.00","4","","v South Africa","Faisalabad","24 Oct 1997",""
"1684","Saqlain Mushtaq (PAK)","0","10","9","0","0","0.00","4","","v South Africa","Faisalabad","24 Oct 1997",""
"1685","Waqar Younis (PAK)","0","4","2","0","0","0.00","4","","v South Africa","Faisalabad","24 Oct 1997",""
"1686","SP Fleming (NZ)","0","29","18","0","0","0.00","4","","v Australia","Brisbane","7 Nov 1997",""
"1687","CD McMillan (NZ)","0","1","1","0","0","0.00","4","","v Australia","Brisbane","7 Nov 1997",""
"1688","CZ Harris (NZ)","0","7","8","0","0","0.00","4","","v Australia","Brisbane","7 Nov 1997",""
"1689","DL Vettori (NZ)","0","6","3","0","0","0.00","4","","v Australia","Brisbane","7 Nov 1997",""
"1690","GI Allott (NZ)","0","20","15","0","0","0.00","4","","v Australia","Brisbane","7 Nov 1997",""
"1691","S Chanderpaul (WI)","0","2","2","0","0","0.00","1","","v Pakistan","Peshawar","17 Nov 1997",""
"1692","RN Lewis (WI)","0","4","1","0","0","0.00","3","","v Pakistan","Peshawar","17 Nov 1997",""
"1693","GI Allott (NZ)","0","4","4","0","0","0.00","1","","v Australia","Perth","20 Nov 1997",""
"1694","A Kuruvilla (INDIA)","0","5","1","0","0","0.00","1","","v Sri Lanka","Nagpur","26 Nov 1997",""
"1695","SP Fleming (NZ)","0","2","1","0","0","0.00","2","","v Australia","Hobart","27 Nov 1997",""
"1696","SP Fleming (NZ)","0","12","6","0","0","0.00","4","","v Australia","Hobart","27 Nov 1997",""
"1697","CL Hooper (WI)","0","5","3","0","0","0.00","1","","v Pakistan","Rawalpindi","29 Nov 1997",""
"1698","CA Walsh (WI)","0","2","2","0","0","0.00","1","","v Pakistan","Rawalpindi","29 Nov 1997",""
"1699","D Williams (WI)","0","4","1","0","0","0.00","3","","v Pakistan","Rawalpindi","29 Nov 1997",""
"1700","CA Walsh (WI)","0","15","6","0","0","0.00","3","","v Pakistan","Rawalpindi","29 Nov 1997",""
"1701","CEL Ambrose (WI)","0","4","2","0","0","0.00","3","","v Pakistan","Rawalpindi","29 Nov 1997",""
"1702","M Azharuddin (INDIA)","0","7","2","0","0","0.00","1","","v Sri Lanka","Mumbai","3 Dec 1997",""
"1703","RK Chauhan (INDIA)","0","1","0","0","0","-","3","","v Sri Lanka","Mumbai","3 Dec 1997",""
"1704","A Kuruvilla (INDIA)","0","1","1","0","0","0.00","3","","v Sri Lanka","Mumbai","3 Dec 1997",""
"1705","SKL de Silva (SL)","0","16","13","0","0","0.00","4","","v India","Mumbai","3 Dec 1997",""
"1706","CL Hooper (WI)","0","6","4","0","0","0.00","1","","v Pakistan","Karachi","6 Dec 1997",""
"1707","M Dillon (WI)","0","9","4","0","0","0.00","1","","v Pakistan","Karachi","6 Dec 1997",""
"1708","Wasim Akram (PAK)","0","4","1","0","0","0.00","2","","v West Indies","Karachi","6 Dec 1997",""
"1709","Saqlain Mushtaq (PAK)","0","3","2","0","0","0.00","2","","v West Indies","Karachi","6 Dec 1997",""
"1710","CA Walsh (WI)","0","6","4","0","0","0.00","3","","v Pakistan","Karachi","6 Dec 1997",""
"1711","ME Waugh (AUS)","0","21","18","0","0","0.00","1","","v South Africa","Melbourne","26 Dec 1997",""
"1712","MS Kasprowicz (AUS)","0","8","3","0","0","0.00","1","","v South Africa","Melbourne","26 Dec 1997",""
"1713","WJ Cronje (SA)","0","3","2","0","0","0.00","2","","v Australia","Melbourne","26 Dec 1997",""
"1714","G Kirsten (SA)","0","23","14","0","0","0.00","4","","v Australia","Melbourne","26 Dec 1997",""
