"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date",""
"60","PR Sleep (AUS)","0","1","1","0","0","0.00","2","","v Pakistan","Faisalabad","30 Sep 1982",""
"61","RW Marsh (AUS)","0","17","5","0","0","0.00","2","","v Pakistan","Faisalabad","30 Sep 1982",""
"62","RJ Bright (AUS)","0","8","10","0","0","0.00","2","","v Pakistan","Faisalabad","30 Sep 1982",""
"63","RJ Bright (AUS)","0","2","2","0","0","0.00","3","","v Pakistan","Faisalabad","30 Sep 1982",""
"64","GF Lawson (AUS)","0","4","4","0","0","0.00","3","","v Pakistan","Faisalabad","30 Sep 1982",""
"65","JR Thomson (AUS)","0","1","1","0","0","0.00","1","","v Pakistan","Lahore","14 Oct 1982",""
"66","TM Alderman (AUS)","0","4","4","0","0","0.00","3","","v Pakistan","Lahore","14 Oct 1982",""
"67","DR Pringle (ENG)","0","30","19","0","0","0.00","1","","v Australia","Perth","12 Nov 1982",""
"68","RW Marsh (AUS)","0","5","5","0","0","0.00","2","","v England","Perth","12 Nov 1982",""
"69","IT Botham (ENG)","0","6","2","0","0","0.00","3","","v Australia","Perth","12 Nov 1982",""
"70","G Miller (ENG)","0","13","6","0","0","0.00","3","","v Australia","Perth","12 Nov 1982",""
"71","RGD Willis (ENG)","0","7","3","0","0","0.00","3","","v Australia","Perth","12 Nov 1982",""
"72","GM Wood (AUS)","0","6","8","0","0","0.00","4","","v England","Perth","12 Nov 1982",""
"73","G Miller (ENG)","0","1","1","0","0","0.00","1","","v Australia","Brisbane","26 Nov 1982",""
"74","AR Border (AUS)","0","15","7","0","0","0.00","2","","v England","Brisbane","26 Nov 1982",""
"75","KJ Hughes (AUS)","0","12","9","0","0","0.00","2","","v England","Brisbane","26 Nov 1982",""
"76","DW Randall (ENG)","0","2","2","0","0","0.00","2","","v Australia","Adelaide","10 Dec 1982",""
"77","EE Hemmings (ENG)","0","4","4","0","0","0.00","2","","v Australia","Adelaide","10 Dec 1982",""
"78","CJ Tavare (ENG)","0","18","10","0","0","0.00","3","","v Australia","Adelaide","10 Dec 1982",""
"79","EE Hemmings (ENG)","0","3","2","0","0","0.00","3","","v Australia","Adelaide","10 Dec 1982",""
"80","DR Doshi (INDIA)","0","5","6","0","0","0.00","2","","v Pakistan","Lahore","10 Dec 1982",""
"81","DB Vengsarkar (INDIA)","0","1","1","0","0","0.00","1","","v Pakistan","Karachi","23 Dec 1982",""
"82","Maninder Singh (INDIA)","0","4","2","0","0","0.00","1","","v Pakistan","Karachi","23 Dec 1982",""
"83","DR Doshi (INDIA)","0","3","1","0","0","0.00","1","","v Pakistan","Karachi","23 Dec 1982",""
"84","Mansoor Akhtar (PAK)","0","8","5","0","0","0.00","2","","v India","Karachi","23 Dec 1982",""
"85","Abdul Qadir (PAK)","0","4","3","0","0","0.00","2","","v India","Karachi","23 Dec 1982",""
"86","GR Viswanath (INDIA)","0","13","6","0","0","0.00","3","","v Pakistan","Karachi","23 Dec 1982",""
"87","SM Patil (INDIA)","0","3","2","0","0","0.00","3","","v Pakistan","Karachi","23 Dec 1982",""
"88","Maninder Singh (INDIA)","0","3","1","0","0","0.00","3","","v Pakistan","Karachi","23 Dec 1982",""
"89","DR Doshi (INDIA)","0","8","3","0","0","0.00","3","","v Pakistan","Karachi","23 Dec 1982",""
"90","GS Chappell (AUS)","0","2","1","0","0","0.00","2","","v England","Melbourne","26 Dec 1982",""
"91","GF Lawson (AUS)","0","8","2","0","0","0.00","2","","v England","Melbourne","26 Dec 1982",""
"92","CJ Tavare (ENG)","0","9","8","0","0","0.00","3","","v Australia","Melbourne","26 Dec 1982",""
"93","B Yardley (AUS)","0","4","5","0","0","0.00","4","","v England","Melbourne","26 Dec 1982",""
"94","JR Thomson (AUS)","0","16","11","0","0","0.00","1","","v England","Sydney","2 Jan 1983",""
"95","CJ Tavare (ENG)","0","16","8","0","0","0.00","2","","v Australia","Sydney","2 Jan 1983",""
"96","AJ Lamb (ENG)","0","5","3","0","0","0.00","2","","v Australia","Sydney","2 Jan 1983",""
"97","RW Taylor (ENG)","0","3","3","0","0","0.00","2","","v Australia","Sydney","2 Jan 1983",""
"98","B Yardley (AUS)","0","11","11","0","0","0.00","3","","v England","Sydney","2 Jan 1983",""
"99","RM Hogg (AUS)","0","5","6","0","0","0.00","3","","v England","Sydney","2 Jan 1983",""
"100","J Arun Lal (INDIA)","0","7","2","0","0","0.00","1","","v Pakistan","Faisalabad","3 Jan 1983",""
"101","Haroon Rasheed (PAK)","0","1","1","0","0","0.00","1","","v India","Hyderabad (Sind)","14 Jan 1983",""
"102","GR Viswanath (INDIA)","0","2","2","0","0","0.00","2","","v Pakistan","Hyderabad (Sind)","14 Jan 1983",""
"103","SMH Kirmani (INDIA)","0","8","5","0","0","0.00","3","","v Pakistan","Hyderabad (Sind)","14 Jan 1983",""
"104","Majid Khan (PAK)","0","13","10","0","0","0.00","1","","v India","Lahore","23 Jan 1983",""
"105","Abdul Qadir (PAK)","0","1","1","0","0","0.00","1","","v India","Lahore","23 Jan 1983",""
"106","Iqbal Qasim (PAK)","0","3","3","0","0","0.00","1","","v India","Lahore","23 Jan 1983",""
"107","S Venkataraghavan (INDIA)","0","-","-","0","0","-","1","","v West Indies","Kingston","23 Feb 1983",""
"108","SM Gavaskar (INDIA)","0","1","1","0","0","0.00","3","","v West Indies","Kingston","23 Feb 1983",""
"109","BS Sandhu (INDIA)","0","2","4","0","0","0.00","3","","v West Indies","Kingston","23 Feb 1983",""
"110","S Venkataraghavan (INDIA)","0","1","1","0","0","0.00","3","","v West Indies","Kingston","23 Feb 1983",""
"111","GP Howarth (NZ)","0","9","6","0","0","0.00","1","","v Sri Lanka","Christchurch","4 Mar 1983",""
"112","ERNS Fernando (SL)","0","1","1","0","0","0.00","2","","v New Zealand","Christchurch","4 Mar 1983",""
"113","JR Ratnayeke (SL)","0","7","2","0","0","0.00","2","","v New Zealand","Christchurch","4 Mar 1983",""
"114","RG de Alwis (SL)","0","2","3","0","0","0.00","2","","v New Zealand","Christchurch","4 Mar 1983",""
"115","VB John (SL)","0","3","2","0","0","0.00","2","","v New Zealand","Christchurch","4 Mar 1983",""
"116","RJ Ratnayake (SL)","0","9","7","0","0","0.00","3","","v New Zealand","Christchurch","4 Mar 1983",""
"117","VB John (SL)","0","4","3","0","0","0.00","1","","v New Zealand","Wellington","11 Mar 1983",""
"118","WK Lees (NZ)","0","2","2","0","0","0.00","2","","v Sri Lanka","Wellington","11 Mar 1983",""
"119","MD Wettimuny (SL)","0","3","1","0","0","0.00","3","","v New Zealand","Wellington","11 Mar 1983",""
"120","SAR Silva (SL)","0","1","1","0","0","0.00","3","","v New Zealand","Wellington","11 Mar 1983",""
"121","DS de Silva (SL)","0","11","9","0","0","0.00","3","","v New Zealand","Wellington","11 Mar 1983",""
"122","S Jeganathan (SL)","0","9","2","0","0","0.00","3","","v New Zealand","Wellington","11 Mar 1983",""
"123","AD Gaekwad (INDIA)","0","2","0","0","0","-","1","","v West Indies","Port of Spain","11 Mar 1983",""
"124","CG Greenidge (WI)","0","-","-","0","0","-","2","","v India","Port of Spain","11 Mar 1983",""
"125","DL Haynes (WI)","0","-","-","0","0","-","2","","v India","Port of Spain","11 Mar 1983",""
"126","MA Holding (WI)","0","-","-","0","0","-","1","","v India","Georgetown","31 Mar 1983",""
"127","AL Logie (WI)","0","-","-","0","0","-","1","","v India","Georgetown","31 Mar 1983",""
"128","N Kapil Dev (INDIA)","0","1","1","0","0","0.00","1","","v West Indies","Bridgetown","15 Apr 1983",""
"129","S Madan Lal (INDIA)","0","-","-","0","0","-","3","","v West Indies","Bridgetown","15 Apr 1983",""
