"","Player","Runs","Mins","BF","4s","6s","SR","Inns","","Opposition","Ground","Start Date","","Country","Notout","Date","Year","Day","Month","Yday","Fours","Sixs","type"
"35","TM Head (AUS)",128,"219",137,"9","3",93.43,"1","","v Pakistan","Adelaide","26 Jan 2017","","AUS","",2017-01-26,2017,26,1,26,9,3,"ODI"
"36","Tamim Iqbal (BDESH)",128,"184",142,"12","3",90.14,"1","","v England","The Oval","1 Jun 2017","","BDESH","",2017-06-01,2017,1,6,152,12,3,"ODI"
"37","Mushfiqur Rahim (BDESH)",127,"381",262,"16","2",48.47,"2","","v India","Hyderabad (Deccan)","9 Feb 2017","","BDESH","",2017-02-09,2017,9,2,40,16,2,"Test"
"38","Tamim Iqbal (BDESH)",127,"-",142,"15","1",89.43,"1","","v Sri Lanka","Dambulla","25 Mar 2017","","BDESH","",2017-03-25,2017,25,3,84,15,1,"ODI"
"39","Azhar Ali (PAK)",127,"490",334,"8","2",38.02,"1","","v West Indies","Roseau","10 May 2017","","PAK","",2017-05-10,2017,10,5,130,8,2,"Test"
"40","Sikandar Raza (ZIM)",127,"342",205,"9","1",61.95,"3","","v Sri Lanka","Colombo (RPS)","14 Jul 2017","","ZIM","",2017-07-14,2017,14,7,195,9,1,"Test"
"41","FDM Karunaratne (SL)",126,"352",244,"10","1",51.63,"3","","v Bangladesh","Colombo (PSS)","15 Mar 2017","","SL","",2017-03-15,2017,15,3,74,10,1,"Test"
"42","Babar Azam (PAK)",125,"-",132,"7","3",94.69,"1","","v West Indies","Providence","9 Apr 2017","","PAK","TRUE",2017-04-09,2017,9,4,99,7,3,"ODI"
"43","E Lewis (WI)",125,"-",62,"6","12",201.61,"2","","v India","Kingston","9 Jul 2017","","WI","TRUE",2017-07-09,2017,9,7,190,6,12,"T20I"
"44","S Dhawan (INDIA)",125,"198",128,"15","1",97.65,"1","","v Sri Lanka","The Oval","8 Jun 2017","","INDIA","",2017-06-08,2017,8,6,159,15,1,"ODI"
"45","RG Sharma (INDIA)",123,"165",129,"15","1",95.34,"2","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA","TRUE",2017-06-15,2017,15,6,166,15,1,"ODI"
"46","V Kohli (INDIA)",122,"147",105,"8","5",116.19,"2","","v England","Pune","15 Jan 2017","","INDIA","",2017-01-15,2017,15,1,15,8,5,"ODI"
"47","KM Jadhav (INDIA)",120,"125",76,"12","4",157.89,"2","","v England","Pune","15 Jan 2017","","INDIA","",2017-01-15,2017,15,1,15,12,4,"ODI"
"48","WU Tharanga (SL)",119,"121",90,"11","7",132.22,"2","","v South Africa","Cape Town","7 Feb 2017","","SL","",2017-02-07,2017,7,2,38,11,7,"ODI"
"49","WTS Porterfield (IRE)",119,"-",98,"18","0",121.42,"2","","v Afghanistan","Greater Noida","15 Mar 2017","","IRE","",2017-03-15,2017,15,3,74,18,0,"ODI"
"50","HM Nicholls (NZ)",118,"242",161,"15","0",73.29,"1","","v South Africa","Wellington","16 Mar 2017","","NZ","",2017-03-16,2017,16,3,75,15,0,"Test"
"51","DA Miller (SA)",117,"138",98,"3","6",119.38,"1","","v Sri Lanka","Durban","1 Feb 2017","","SA","TRUE",2017-02-01,2017,1,2,32,3,6,"ODI"
"52","Shaiman Anwar (UAE)",117,"-",68,"10","6",172.05,"1","","v P.N.G.","Abu Dhabi","14 Apr 2017","","UAE","TRUE",2017-04-14,2017,14,4,104,10,6,"T20I"
"53","WP Saha (INDIA)",117,"329",233,"8","1",50.21,"2","","v Australia","Ranchi","16 Mar 2017","","INDIA","",2017-03-16,2017,16,3,75,8,1,"Test"
"54","Shakib Al Hasan (BDESH)",116,"251",159,"10","0",72.95,"2","","v Sri Lanka","Colombo (PSS)","15 Mar 2017","","BDESH","",2017-03-15,2017,15,3,74,10,0,"Test"
"55","MD Gunathilaka (SL)",116,"153",111,"15","1",104.5,"2","","v Zimbabwe","Hambantota","6 Jul 2017","","SL","",2017-07-06,2017,6,7,187,15,1,"ODI"
"56","N Dickwella (SL)",116,"172",118,"8","0",98.3,"1","","v Zimbabwe","Hambantota","8 Jul 2017","","SL","",2017-07-08,2017,8,7,189,8,0,"ODI"
"57","WU Tharanga (SL)",115,"225",171,"11","2",67.25,"3","","v Bangladesh","Galle","7 Mar 2017","","SL","",2017-03-07,2017,7,3,66,11,2,"Test"
"58","DAS Gunaratne (SL)",114,"168",117,"14","2",97.43,"2","","v South Africa","Centurion","10 Feb 2017","","SL","TRUE",2017-02-10,2017,10,2,41,14,2,"ODI"
"59","Shakib Al Hasan (BDESH)",114,"184",115,"11","1",99.13,"2","","v New Zealand","Cardiff","9 Jun 2017","","BDESH","",2017-06-09,2017,9,6,160,11,1,"ODI"
"60","Fakhar Zaman (PAK)",114,"142",106,"12","3",107.54,"1","","v India","The Oval","18 Jun 2017","","PAK","",2017-06-18,2017,18,6,169,12,3,"ODI"
"61","DA Warner (AUS)",113,"141",95,"17","0",118.94,"1","","v Pakistan","Sydney","3 Jan 2017","","AUS","",2017-01-03,2017,3,1,3,17,0,"Test"
"62","SF Mire (ZIM)",112,"164",96,"14","0",116.66,"2","","v Sri Lanka","Galle","30 Jun 2017","","ZIM","",2017-06-30,2017,30,6,181,14,0,"ODI"
"63","BA Stokes (ENG)",112,"276",153,"9","4",73.2,"1","","v South Africa","The Oval","27 Jul 2017","","ENG","",2017-07-27,2017,27,7,208,9,4,"Test"
"64","V Kohli (INDIA)",111,"-",115,"12","2",96.52,"2","","v West Indies","Kingston","6 Jul 2017","","INDIA","TRUE",2017-07-06,2017,6,7,187,12,2,"ODI"
"65","SPD Smith (AUS)",111,"224",173,"14","0",64.16,"1","","v India","Dharamsala","25 Mar 2017","","AUS","",2017-03-25,2017,25,3,84,14,0,"Test"
"66","H Masakadza (ZIM)",111,"152",98,"15","1",113.26,"1","","v Sri Lanka","Hambantota","6 Jul 2017","","ZIM","",2017-07-06,2017,6,7,187,15,1,"ODI"
"67","PSP Handscomb (AUS)",110,"319",205,"9","0",53.65,"1","","v Pakistan","Sydney","3 Jan 2017","","AUS","",2017-01-03,2017,3,1,3,9,0,"Test"
"68","AD Hales (ENG)",110,"-",107,"9","5",102.8,"1","","v West Indies","Bridgetown","9 Mar 2017","","ENG","",2017-03-09,2017,9,3,68,9,5,"ODI"
"69","BKG Mendis (SL)",110,"212",135,"17","0",81.48,"3","","v India","Colombo (SSC)","3 Aug 2017","","SL","",2017-08-03,2017,3,8,215,17,0,"Test"
"70","Q de Kock (SA)",109,"111",87,"16","0",125.28,"1","","v Sri Lanka","Centurion","10 Feb 2017","","SA","",2017-02-10,2017,10,2,41,16,0,"ODI"
"71","SPD Smith (AUS)",109,"256",202,"11","0",53.96,"3","","v India","Pune","23 Feb 2017","","AUS","",2017-02-23,2017,23,2,54,11,0,"Test"
"72","Rohan Mustafa (UAE)",109,"-",125,"7","1",87.2,"1","","v P.N.G.","Abu Dhabi","4 Apr 2017","","UAE","",2017-04-04,2017,4,4,94,7,1,"ODI"
"73","NJ O'Brien (IRE)",109,"-",131,"9","5",83.2,"2","","v New Zealand","Dublin (Malahide)","14 May 2017","","IRE","",2017-05-14,2017,14,5,134,9,5,"ODI"
"74","KJ Coetzer (SCOT)",109,"-",101,"13","2",107.92,"1","","v Zimbabwe","Edinburgh","15 Jun 2017","","SCOT","",2017-06-15,2017,15,6,166,13,2,"ODI"
"75","SPD Smith (AUS)",108,"157",104,"11","1",103.84,"2","","v Pakistan","Perth","19 Jan 2017","","AUS","TRUE",2017-01-19,2017,19,1,19,11,1,"ODI"
"76","Rahmat Shah (AFG)",108,"164",128,"10","1",84.37,"2","","v Ireland","Greater Noida","24 Mar 2017","","AFG","TRUE",2017-03-24,2017,24,3,83,10,1,"ODI"
"77","M Vijay (INDIA)",108,"265",160,"12","1",67.5,"1","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA","",2017-02-09,2017,9,2,40,12,1,"Test"
"78","LRPL Taylor (NZ)",107,"147",101,"13","0",105.94,"1","","v Australia","Hamilton","5 Feb 2017","","NZ","",2017-02-05,2017,5,2,36,13,0,"ODI"
"79","EJG Morgan (ENG)",107,"179",116,"11","2",92.24,"1","","v West Indies","North Sound","3 Mar 2017","","ENG","",2017-03-03,2017,3,3,62,11,2,"ODI"
"80","EJG Morgan (ENG)",107,"135",93,"7","5",115.05,"1","","v South Africa","Leeds","24 May 2017","","ENG","",2017-05-24,2017,24,5,144,7,5,"ODI"
"81","WP Saha (INDIA)",106,"192",155,"7","2",68.38,"1","","v Bangladesh","Hyderabad (Deccan)","9 Feb 2017","","INDIA","TRUE",2017-02-09,2017,9,2,40,7,2,"Test"
"82","F du Plessis (SA)",105,"164",120,"7","1",87.5,"1","","v Sri Lanka","Durban","1 Feb 2017","","SA","",2017-02-01,2017,1,2,32,7,1,"ODI"
"83","Azhar Ali (PAK)",105,"452",278,"9","0",37.76,"2","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,9,0,"Test"
"84","KS Williamson (NZ)",104,"144",90,"15","0",115.55,"4","","v Bangladesh","Wellington","12 Jan 2017","","NZ","TRUE",2017-01-12,2017,12,1,12,15,0,"Test"
"85","GJ Maxwell (AUS)",104,"245",185,"9","2",56.21,"1","","v India","Ranchi","16 Mar 2017","","AUS","",2017-03-16,2017,16,3,75,9,2,"Test"
"86","TWM Latham (NZ)",104,"-",111,"9","4",93.69,"1","","v Ireland","Dublin (Malahide)","21 May 2017","","NZ","",2017-05-21,2017,21,5,141,9,4,"ODI"
"87","V Kohli (INDIA)",103,"158",136,"5","1",75.73,"3","","v Sri Lanka","Galle","26 Jul 2017","","INDIA","TRUE",2017-07-26,2017,26,7,207,5,1,"Test"
"88","HM Amla (SA)",103,"202",115,"5","2",89.56,"1","","v Sri Lanka","The Oval","3 Jun 2017","","SA","",2017-06-03,2017,3,6,154,5,2,"ODI"
"89","AM Rahane (INDIA)",103,"-",104,"10","2",99.03,"1","","v West Indies","Port of Spain","25 Jun 2017","","INDIA","",2017-06-25,2017,25,6,176,10,2,"ODI"
"90","LRPL Taylor (NZ)",102,"164",110,"8","0",92.72,"1","","v South Africa","Christchurch","22 Feb 2017","","NZ","TRUE",2017-02-22,2017,22,2,53,8,0,"ODI"
"91","Mahmudullah (BDESH)",102,"158",107,"8","2",95.32,"2","","v New Zealand","Cardiff","9 Jun 2017","","BDESH","TRUE",2017-06-09,2017,9,6,160,8,2,"ODI"
"92","BA Stokes (ENG)",102,"136",109,"13","2",93.57,"2","","v Australia","Birmingham","10 Jun 2017","","ENG","TRUE",2017-06-10,2017,10,6,161,13,2,"ODI"
"93","EJG Morgan (ENG)",102,"129",81,"6","5",125.92,"2","","v India","Cuttack","19 Jan 2017","","ENG","",2017-01-19,2017,19,1,19,6,5,"ODI"
"94","BKG Mendis (SL)",102,"164",107,"9","1",95.32,"1","","v Bangladesh","Dambulla","28 Mar 2017","","SL","",2017-03-28,2017,28,3,87,9,1,"ODI"
"95","N Dickwella (SL)",102,"148",116,"14","0",87.93,"2","","v Zimbabwe","Hambantota","6 Jul 2017","","SL","",2017-07-06,2017,6,7,187,14,0,"ODI"
"96","Shoaib Malik (PAK)",101,"-",111,"10","2",90.99,"2","","v West Indies","Providence","11 Apr 2017","","PAK","TRUE",2017-04-11,2017,11,4,101,10,2,"ODI"
"97","RL Chase (WI)",101,"366",239,"12","1",42.25,"4","","v Pakistan","Roseau","10 May 2017","","WI","TRUE",2017-05-10,2017,10,5,130,12,1,"Test"
"98","Q de Kock (SA)",101,"178",124,"11","0",81.45,"1","","v Sri Lanka","Cape Town","2 Jan 2017","","SA","",2017-01-02,2017,2,1,2,11,0,"Test"
"99","C Munro (NZ)",101,"71",54,"7","7",187.03,"1","","v Bangladesh","Mount Maunganui","6 Jan 2017","","NZ","",2017-01-06,2017,6,1,6,7,7,"T20I"
"100","JE Root (ENG)",101,"-",108,"10","0",93.51,"1","","v West Indies","Bridgetown","9 Mar 2017","","ENG","",2017-03-09,2017,9,3,68,10,0,"ODI"
"101","Asghar Stanikzai (AFG)",101,"126",90,"6","6",112.22,"1","","v Ireland","Greater Noida","17 Mar 2017","","AFG","",2017-03-17,2017,17,3,76,6,6,"ODI"
"102","BA Stokes (ENG)",101,"124",79,"11","3",127.84,"1","","v South Africa","Southampton","27 May 2017","","ENG","",2017-05-27,2017,27,5,147,11,3,"ODI"
"103","MS Wade (AUS)",100,"150",100,"7","2",100,"1","","v Pakistan","Brisbane","13 Jan 2017","","AUS","TRUE",2017-01-13,2017,13,1,13,7,2,"ODI"
"104","Babar Azam (PAK)",100,"153",109,"7","1",91.74,"2","","v Australia","Adelaide","26 Jan 2017","","PAK","",2017-01-26,2017,26,1,26,7,1,"ODI"
"105","WTS Porterfield (IRE)",100,"-",116,"8","1",86.2,"1","","v U.A.E.","ICCA Dubai","2 Mar 2017","","IRE","",2017-03-02,2017,2,3,61,8,1,"ODI"
"106","KS Williamson (NZ)",100,"148",97,"8","3",103.09,"1","","v Australia","Birmingham","2 Jun 2017","","NZ","",2017-06-02,2017,2,6,153,8,3,"ODI"
"107","Misbah-ul-Haq (PAK)",99,"346",223,"5","3",44.39,"2","","v West Indies","Kingston","21 Apr 2017","","PAK","TRUE",2017-04-21,2017,21,4,111,5,3,"Test"
"108","PR Stirling (IRE)",99,"145",114,"9","1",86.84,"2","","v Afghanistan","Greater Noida","19 Mar 2017","","IRE","",2017-03-19,2017,19,3,78,9,1,"ODI"
"109","Misbah-ul-Haq (PAK)",99,"258",201,"9","2",49.25,"2","","v West Indies","Bridgetown","30 Apr 2017","","PAK","",2017-04-30,2017,30,4,120,9,2,"Test"
"110","JM Bairstow (ENG)",99,"192",145,"14","1",68.27,"1","","v South Africa","Manchester","4 Aug 2017","","ENG","",2017-08-04,2017,4,8,216,14,1,"Test"
"111","HM Nicholls (NZ)",98,"237",149,"12","0",65.77,"2","","v Bangladesh","Christchurch","20 Jan 2017","","NZ","",2017-01-20,2017,20,1,20,12,0,"Test"
"112","Q de Kock (SA)",98,"144",103,"11","0",95.14,"2","","v England","Southampton","27 May 2017","","SA","",2017-05-27,2017,27,5,147,11,0,"ODI"
"113","FDM Karunaratne (SL)",97,"286",208,"9","0",46.63,"4","","v India","Galle","26 Jul 2017","","SL","",2017-07-26,2017,26,7,207,9,0,"Test"
"114","V Kohli (INDIA)",96,"96",78,"13","0",123.07,"2","","v Bangladesh","Birmingham","15 Jun 2017","","INDIA","TRUE",2017-06-15,2017,15,6,166,13,0,"ODI"
